speech_giver,term1,term2,term3,term4,term5,term6,term7,term8,term9,term10,term11,term12,term13,term14,term15,term16,term17,term18,term19,term20,term21,term22,term23,term24,term25,term26,term27
A. Mithat Altıok,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,
A. Orhan Öztrak,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,
A. Saim Karaömerlioğlu,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,
Abbas Bozyel,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi,,,,,,
Abbas Gigin,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,,
Abbas İnceayan,,,,,,,,,,,,,,,,,,,Anavatan Partisi,Anavatan Partisi,,,,,,,
Abbasali Çetin,,,,,,,,,Cumhuriyet Halk Partisi,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,
Abdi Ağabeyoğlu,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Abdi Nazım Bezmen,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,
Abdi Çilingir,,,,,,,,,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,,
Abdul Ahat Andican,,,,,,,,,,,,,,,,,,,,Anavatan Partisi,Anavatan Partisi,,,,,,Anavatan Partisi
Abdulahat Arvas,,,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi
Abdulaziz Uras,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,
Abdulaziz Yazar,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,
Abdulbaki Erdoğmuş,,,,,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,
Abdulbaki Gökçel,,,,,,,,,,,,,,,,,,,,Demokratik Sol Parti,,,,,,,
Abdulbaki Tuğ,,,,,,,,,,,,,,,,,,,Doğru Yol Partisi,,,,,,,,
Abdulbaki Türkoğlu,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,,,
Abdulbaki Ökdem,,,,,,,,,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,,
Abdulbari Dedeoğlu,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Abdulgani Aşık,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,
Abdulgani Ensari,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,
Abdulgani Ertan,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdulhadi Hüsman,,,,,,,,,Demokrat Parti,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,
Abdulhak Hâmit Tarhan,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,
Abdulhakim Arvas,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,
Abdulhalik Fazlı Ertekin,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,
Abdulhalim Aras,,,,,,,,,,,,Adalet Partisi,Adalet Partisi,,,,Adalet Partisi,Adalet Partisi,,,,,,,,,
Abdulhalim Galip Kahraman,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Abdulhalim Şatana,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,
Abdulhaluk Mutlu,,,,,,,,,,,,,,,,,,,,Refah Partisi,,,,,,,
Abdulhalûk Mehmet Çay,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi,,,,,,
Abdulhamit Gül,,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi
Abdulilah Fırat,,,,,,,,,,,,,,,,,,,Refah Partisi,Refah Partisi,,,,,,,
Abdulkadir Akgöl,,,,,,,,,,,,,,,,,,,,Doğru Yol Partisi,,,,,,,
Abdulkadir Akgül,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,,
Abdulkadir Ateş,,,,,,,,,,,,,,,,,,Sosyaldemokrat Halkçı Parti,Sosyaldemokrat Halkçı Parti,,,Sosyaldemokrat Halkçı Parti,,,,,
Abdulkadir Atik,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,
Abdulkadir Baş,,,,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,
Abdulkadir Cavit Ekin,,Cumhuriyet Halk Partisi,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Abdulkadir Cenkçiler,,,,,,,,,,,,,,,,,,,,Doğru Yol Partisi,,,,,,,
Abdulkadir Emin Önen,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,,,
Abdulkadir Emirmahmutoğlu,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,
Abdulkadir Hikmet Turhan Dağlıoğlu,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,
Abdulkadir Kadri Kürkçü,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,
Abdulkadir Kaflı,,,,,,,,,,,,Cumhuriyetçi Köylü Millet Partisi,,,,,,,,,,,,,,,
Abdulkadir Karaduman,,,,,,,,,,,,,,,,,,,,,,,,,,,Saadet Partisi
Abdulkadir Kart,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,,,
Abdulkadir Kaya,,,,,,,,,,,,,,,,Millî Selamet Partisi,,,,,,,,,,,
Abdulkadir Yüksel,,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,
Abdulkadir Öncel,,,,,,,,,,,,,,,Millî Selamet Partisi,,,,,Millî Selamet Partisi,,,,,,,
Abdulkadir Özel,,,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi
Abdulkerim Aydemir,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,,
Abdulkerim Celal Türkgeldi,,,,,,,,,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,,
Abdulkerim Gök,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,
Abdulkerim Kemal Bayezıtoğlu,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,
Abdulkerim Kemali Bayazit,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,
Abdulkerim Yılmaz Erdem,,,,,,,,,,,,,,,,,Milliyetçi Demokrasi Partisi,,,,,,,,,,
Abdulkerim Zilan,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,Cumhuriyet Halk Partisi,,,,,,,,
Abdullah Akarsu,,,,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,
Abdullah Aker,,,,,,,,,,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,
Abdullah Akın,,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,
Abdullah Altıntaş,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,,,,
Abdullah Apti Özkök,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,
Abdullah Arslan,,,,,,,,,,,,,,,,,,,,Refah Partisi,,,,,,,
Abdullah Aykon Doğan,,,,,,,,,,,,,,,,,,Doğru Yol Partisi,Doğru Yol Partisi,Doğru Yol Partisi,,,,,,,
Abdullah Azmi Torun,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,
Abdullah Ağralı,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi
Abdullah Bazencir,,,,,,,,,,,,,,,Millî Selamet Partisi,,,,,,,,,,,,
Abdullah Başcı,,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,
Abdullah Baştürk,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,Cumhuriyet Halk Partisi,,,,,,,,,
Abdullah Cengiz Dağyar,,,,,,,,,,,,,,,,,Anavatan Partisi,Anavatan Partisi,,,,,,,,,
Abdullah Cilli,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,
Abdullah Demirtaş,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,,
Abdullah Dilaver Argun,,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,
Abdullah Doğru,,,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi
Abdullah Efendi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdullah Erdem Cantimur,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,,,
Abdullah Faik Ocak,,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,
Abdullah Faik Çopuroğlu,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdullah Feyzi Atahan,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,
Abdullah Galip Kınoğlu,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,,
Abdullah Gedikoğlu,,,,,,,,,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,,
Abdullah Gencer,,,,,,,,,,,,,,,,,,,,Refah Partisi,,,,,,,
Abdullah Gül,,,,,,,,,,,,,,,,,,,Refah Partisi,Refah Partisi,Refah Partisi,Refah Partisi,Refah Partisi,,,,
Abdullah Güler,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi
Abdullah Hilmi Tunalı,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,
Abdullah Hulusi Köksel,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,
Abdullah Hulusi Zarplı,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,
Abdullah Karabina,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdullah Keleşoğlu,,,,,,,,,,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,
Abdullah Kemal Çelik,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Abdullah Koç,,,,,,,,,,,,,,,,,,,,,,,,,,,Halkların Demokratik Partisi
Abdullah Köroğlu,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,
Abdullah Kınalı,,,,,,,,,,,,,,,,,,,Doğru Yol Partisi,,,,,,,,
Abdullah Levent Tüzel,,,,,,,,,,,,,,,,,,,,,,,,Bağımsız,Bağımsız,,
Abdullah Mursaloğlu,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,
Abdullah Müslihattin Tunca,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,
Abdullah Naci Budak,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,
Abdullah Naci Eker,,,,,,,,,,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,
Abdullah Naci Güray,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,,,,,
Abdullah Nejat Koçer,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi
Abdullah Nevzat Tandoğan,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,
Abdullah Okyay,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,
Abdullah Sabri Aytaç,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdullah Sedat Doğan,,,,,,,,,,,,,,,,,,Sosyaldemokrat Halkçı Parti,,,,,,,,,
Abdullah Tenekeci,,,,,,,,,,,,,,,,,Anavatan Partisi,Anavatan Partisi,,,,,,,,,
Abdullah Tomba,,,,,,,,,,,,,,,,Millî Selamet Partisi,,,,,,,,,,,
Abdullah Torun,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,,,
Abdullah Turan Bilge,,,,,,,,,,,,,,,,,,,,Demokratik Sol Parti,Demokratik Sol Parti,,,,,,
Abdullah Turgut Topaloğlu,,,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,,,
Abdullah Ulutürk,,,,,,,,,,,,,,,,,,Doğru Yol Partisi,Doğru Yol Partisi,,,,,,,,
Abdullah Veli Seyda,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,,,,
Abdullah Yaycıoğlu,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,
Abdullah Zeydan,,,,,,,,,,,,,,,,,,,,,,,,,Halkların Demokratik Partisi,Halkların Demokratik Partisi,
Abdullah Çakırefe,,,,,,,,,,,,,,,,,Halkçı Parti,,,,,,,,,,
Abdullah Çalışkan,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,,,
Abdullah Çetinkaya,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,,,,
Abdullah Öner Miski,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,Cumhuriyet Halk Partisi,,,,,,,,,
Abdullah Örnek,,,,,,,,,,,,,,,,,,,,Refah Partisi,,,,,,,
Abdullah Özbey,,,,,,,,,,,,,,,,,,,,Refah Partisi,,,,,,,
Abdullah Özer,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,
Abdullah Öztürk,,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,
Abdullah İsmet Eker,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Abdullah İzmen,,,,,,,,,,Demokrat Parti,,,,Demokrat Parti,,,,,,,,,,,,,
Abdullah Şahin Laçin,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,,,
Abdullah Şükrü Uluçay,,,,,,,,,Demokrat Parti,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,
Abdullatif Naci Eldeniz,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,
Abdullatif Nevzad Ayasbeyoğlu,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,
Abdullatif Şener,,,,,,,,,,,,,,,,,,,Refah Partisi,,,,,,,,Refah Partisi
Abdullâtif Naci Eldeniz,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,
Abdulmecit Alp,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,,,
Abdulmecit Yağan,,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,,,
Abdulmuttalip Gül,,,,,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,
Abdulmuttalip Öker,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,
Abdulmuttalip Özbek,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,,
Abdulsamet Turgut,,,,,,,,,,,,,,,,,,,,,Demokratik Sol Parti,,,,,,
Abdulvahap Altınkaynak,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,
Abdulvahap Dizdaroğlu,,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,,,
Abdulvahap Kışoğlu,,,,,,,,,,,,Yeni Türkiye Partisi,,,,,,,,,,,,,,,
Abdulvahit Yöndem,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,,
Abdulğani Gürsoy,,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,
Abdurrahim Akdağ,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,
Abdurrahim Aksoy,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,,,
Abdurrahim Boynukalın,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,
Abdurrahim Erdem,,,,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,,
Abdurrahim Kâzım Oskay,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,
Abdurrahim Necdet Açanal,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,,
Abdurrahim Türk,,,,,,,,,,,,,,Bağımsız,,,,,,,,,,,,,
Abdurrahim Ulvi Beydağı,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Abdurrahman Altuğ,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,
Abdurrahman Anik,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,,,
Abdurrahman Arıcı,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,,
Abdurrahman Bayar,,,,,,,,,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,,
Abdurrahman Başkan,,,,,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi,,Milliyetçi Hareket Partisi
Abdurrahman Boyacıgiller,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,,
Abdurrahman Bozkır,,,,,,,,,,,,,,,,,Anavatan Partisi,Anavatan Partisi,,,,,,,,,
Abdurrahman Demirtaş,,,,,,,,,,,,,,,,,Milliyetçi Demokrasi Partisi,,,,,,,,,,
Abdurrahman Dodurgalı,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,,
Abdurrahman Doğruyol,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,
Abdurrahman Dursun Yalvaç,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdurrahman Fahri Ağaoğlu,,,,,,,,,Demokrat Parti,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,
Abdurrahman Ferit Alpiskender,,,,,,,,,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,,
Abdurrahman Güler,,,,,,,,,,,,Adalet Partisi,Adalet Partisi,Adalet Partisi,,,,,,,,,,,,,
Abdurrahman Karaman,,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,,,
Abdurrahman Konuk,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Abdurrahman Kurt,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,,
Abdurrahman Köksaloğlu,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,
Abdurrahman Küçük,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi,,,,,,
Abdurrahman Lami Ersoy,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdurrahman Melek,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,
Abdurrahman Müfit Yetkin,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,,,,
Abdurrahman Münip Berkan,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,,,
Abdurrahman Naci Demirağ,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,
Abdurrahman Naşit Sarıca,,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,,,,
Abdurrahman Necati Kara’A,,,,,,,,,,,,,,,,,Milliyetçi Demokrasi Partisi,,,,,,,,,,
Abdurrahman Odabaşı,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,
Abdurrahman Oğultürk,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,
Abdurrahman Tutdere,,,,,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi
Abdurrahman Yazgan,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,,,,,
Abdurrahman Öz,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,
Abdurrahman Ünlü,,,,,,,,,,,,,,,,,,,Doğru Yol Partisi,,,,,,,,
Abdurrahman Ünsal,,,,,,,,,,,,,,,Millî Selamet Partisi,Millî Selamet Partisi,,,,,,,,,,,
Abdurrahman Şeref Bey,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,
Abdurrahman Şeref Lâç,,,,,,,,,,,,,Millet Partisi,Millet Partisi,,,,,,,,,,,,,
Abdurrahman Şeref Uluğ,,Cumhuriyet Halk Partisi,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Abdurrauf Kıray,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,,,,,
Abdurrezak Yavuz,,,,,,,,,,,,,,,,,,,Doğru Yol Partisi,,,,,,,,
Abdurrezzak Erten,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,
Abdurrezzak Şatana,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,
Abdülaziz Özbay,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,
Abdülbaki Ahmet Ziyaettin Tümtürk,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Abdülbaki Albayrak,,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,,,
Abdülbaki Ataç,,,,,,,,,,,,,,,,,,,Doğru Yol Partisi,Doğru Yol Partisi,,,,,,,
Abdülbaki Carti,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,
Abdülbaki Erden,,,,,,,,,Demokrat Parti,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,
Abdülbâri Akdoğan,,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,,,,
Abdülgafur Iştın,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdülgani Türkmen,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Abdülhadi Kahya,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,,
Abdülhak Adnan Adıvar,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Abdülhak Kemal Yörük,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,
Abdülhalim Tevfik Alyot,,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,
Abdülhalim Çelebi Ertüzün,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdülhamit Gül,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,
Abdülkadir Akcan,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi,,Milliyetçi Hareket Partisi,,,,
Abdülkadir Akgül,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,
Abdülkadir Aksu,,,,,,,,,,,,,,,,,,Anavatan Partisi,,Anavatan Partisi,Anavatan Partisi,Anavatan Partisi,Anavatan Partisi,Anavatan Partisi,,,
Abdülkadir Cenkçiler,,,,,,,,,,,,,,,,,,Doğru Yol Partisi,,,,,,,,,
Abdülkadir Eryurt,,,,,,,,,,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,
Abdülkadir Kalav,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,
Abdülkadir Kemali Öğütcü,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdülkadir Kermooğlu,,,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,,,
Abdülkadir Taşangil,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Abdülkadir Timurağaoğlu,,,,,,,,,,,,,,,,Millî Selamet Partisi,,,,,,,,,,,
Abdülkadir Özbay,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,
Abdülkadir Özmen,,,,,,,,,,,,,,Bağımsız,,,,,,,,,,,,,
Abdülkerim Bayazıt,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,
Abdülkerim Doğru,,,,,,,,,,,,,,,Millî Selamet Partisi,Millî Selamet Partisi,,,Millî Selamet Partisi,,,,,,,,
Abdülkerim Sebati Acun,,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,
Abdülkâdir Cami Baykurt,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdülküddis Sabahattin Sönmez,,,,,,,,,,Bağımsız,,,,,,,,,,,,,,,,,
Abdüllatif Şener,,,,,,,,,,,,,,,,,,,,Refah Partisi,Refah Partisi,Refah Partisi,,,,,
Abdüllâtif Ensarioğlu,,,,,,,,,,,,,Adalet Partisi,Adalet Partisi,Adalet Partisi,Adalet Partisi,,,,,,,,,,,
Abdüllâtif Naci Eldeniz,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,
Abdülmelik Fırat,,,,,,,,,,,Demokrat Parti,,,,,,,,Demokrat Parti,,,,,,,,
Abdürrezzak Şatana,,,,,Cumhuriyet Halk Partisi,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Abdüssamet Kuzucu,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,
