speech_giver,political_party,terms
Burhanettin Uysal,Adalet ve Kalkınma Partisi,[26]
Bülend Ulusu,,[17]
Bülent Akarcalı,Anavatan Partisi(1983-2002)Adalet ve Kalkınma Partisi(2009),"[17, 18, 19, 20, 21]"
Bülent Akarcaİ,Anavatan Partisi(1983-2002)Adalet ve Kalkınma Partisi(2009),"[17, 18, 19, 20, 21]"
Bülent Ecevit,Demokratik Sol Parti(1987-2004),"[11, 12, 13, 14, 15, 16, 19, 20, 21]"
Bülent H. Tanla,,[]
Bülent Kaya,Saadet Partisi,[28]
Bülent Kuşoğlu’n,Doğru Yol Partisi(2002-2007)Demokrat Parti(2007-2009)Türkiye Partisi(2009-2010)Cumhuriyet Halk Partisi(2010-),"[24, 25, 26, 27]"
Bülent Kuşoğlu’nun 2014 Yılı Merkezi Yönetim Kesin Hesap Kanunu Tasarısı’nın 5’inci maddesi üzerinde şahsı adına yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 387 57.- Maliye Bakanı Naci Ağbal,,[]
Bülent Kuşoğlu’nun yaptığı açıklamasındaki bazı ifadelerine ilişkin açıklaması 278:279 31.- Ankara Milletvekili Levent Gök,,[]
Bülent Tezcan,Cumhuriyet Halk Partisi,"[24, 25, 26, 27, 28]"
"Bülent Tezcan’a geçmiş olsun dileğinde bulunduğuna, Niğde Milletvekili Ömer Fethi Gürer ve Mersin Milletvekili Aytuğ Atıcı’nın yaptıkları açıklamaları ile Mersin Milletvekili Baki Şimşek’in yaptığı gündem dışı konuşmasındaki bazı ifadelerine ilişkin açıklaması 646:647 18.- Diyarbakır Milletvekili İdris Baluken",,[]
Bülent Tezcan’ın yaptığı açıklama sırasındaki bazı ifadelerine ilişkin açıklaması 877:878 7.- Ankara Milletvekili Özcan Yeniçeri,,[]
Bülent Turan,,"[24, 25, 26, 27]"
"Bülent Turan, Down sendromu ile endemik ve aromatik bitkilerle ilgili Meclis araştırması komisyonlarının kurulmasına, 25 Mart Büyük Birlik Partisi Genel Başkanı Muhsin Yazıcıoğlu’nun vefatının 9’uncu yıl dönümüne, 27 Mart Dünya Tiyatro Günü’ne, 16 Mart 1988 Halepçe katliamında ölenlere Allah’tan rahmet dilediğine ve İzmir Milletvekili Mustafa Ali Balbay’ın yaptığı açıklamasındaki bazı ifadelerine ilişkin açıklaması 319:320 25.- Adana Milletvekili Meral Danış Beştaş",,[]
"Bülent Turan, Gaziantep Milletvekili Mahmut Toğrul’un yaptığı açıklamasındaki bazı ifadelerine ve “AİHM’in her kararı doğrudur.” diyemeyeceklerine ilişkin açıklaması 498:500 31.- Kocaeli Milletvekili Lütfü Türkkan",,[]
"Bülent Turan’ın 29 Ekim cumhuriyetin ilanının 95’inci yıl dönümünü kutladığına, cumhuriyetin doksan beş yıllık tarihinin gözden geçirilmesi gereken derslerle dolu olduğuna, Gazi Mustafa Kemal Atatürk başta olmak üzere şehitleri rahmetle andığına, 29 Ekim Necmettin Erbakan’ı 92’nci doğum yıl dönümünde minnetle yâd ettiğine, 29 Ekim-4 Kasım Kızılay Haftası’na ilişkin açıklaması 1091:1092 21.- Manisa Milletvekili Özgür Özel",,[]
Bülent Turan’ın yaptığı açıklamasındaki bazı ifadelerine ve iç ve dış politika,,[]
