speech_giver,political_party,terms
Ahmet Tuncay Özkan,Yeni Parti(2008-2011)Cumhuriyet Halk Partisi(2014-),"[25, 26, 27, 28]"
Ahmet Uncu,Doğru Yol Partisi,[18]
Ahmet Uzer,Fazilet PartisiAdalet ve Kalkınma Partisi,"[22, 26, 27]"
Ahmet Vehbi Bakırlıoğlu’n,Cumhuriyet Halk Partisi,"[27, 28]"
Ahmet Yeni,Adalet ve Kalkınma Partisi,"[22, 23, 24]"
Ahmet Yıldırım,,[]
"Ahmet Yıldırım, “kürdistan” ifadesinin sosyolojik, tarihî, coğrafi bir kavram olduğuna ve siyasi partilere göre değişiklik göstermeyeceğine ilişkin açıklaması 1041 27.- Samsun Milletvekili Erhan Usta",,[]
Ahmet Yıldırım’ın sataşma nedeniyle yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 189:190 25.- Muş Milletvekili Ahmet Yıldırım,,[]
Ahmet Yıldırım’ın yaptığı açıklamasındaki bazı ifadelerine ilişkin açıklaması 70 35.- Trabzon Milletvekili Haluk Pekşen,,[]
Ahmet Çolakoğlu’n,Adalet ve Kalkınma Partisi,"[27, 28]"
Ahmet Önal,Cumhuriyet Halk Partisi,"[27, 28]"
Ahmet Özdemir,,[]
Ahmet Özyürek,Milliyetçi Hareket Partisi,"[27, 28]"
Ahmet Ünal Çeviköz,Cumhuriyet Halk Partisi(2015-günümüz),[27]
Ahmet Üncü,,"[11, 12, 13]"
Ahmet İyimaya,AK Parti,"[20, 21, 23, 24, 25, 26]"
Ahmet Şırrı Özbet,,[]
Akif Akkuş,Milliyetçi Hareket Partisi,[23]
Akif Ekici,,"[23, 26]"
Aktuna,,[]
Akın BirdaP,,[]
Akın Üstündağ,Cumhuriyet Halk Partisi,"[25, 26]"
Alaattin Yüksel,,[24]
Alaettin Kurt,,"[18, 19]"
Algan Hacaloğlu,Sosyaldemokrat Halkçı PartiCumhuriyet Halk Partisi,"[19, 20, 22, 23]"
Ali Akyıldız,,[]
Ali Atalan,Halkların Demokratik Partisi,"[25, 26]"
Ali Aydınlıoğlu’n,Adalet ve Kalkınma Partisi,"[22, 24, 25, 26]"
Ali Bozer,Milliyetçi Demokrasi Partisi(1983-1986)Anavatan Partisi(1986-1991),"[17, 18]"
Ali Cumhur Taşkın,Adalet ve Kalkınma Partisi,"[26, 27]"
Ali Er,Doğru Yol Partisi,"[18, 19]"
Ali Ercoşkun,Adalet ve Kalkınma Partisi,"[24, 25, 26]"
Ali Eser,Doğru Yol Partisi,"[18, 19]"
Ali Fazıl Kasap,Cumhuriyet Halk Partisi(2015-günümüz)Saadet Partisi(2023-2024)(de jure),"[27, 28]"
Ali Halaman,,"[21, 24]"
Ali Haydar Erdoğan,Halkların Demokratik Partisi,[25]
Ali Haydar Hakverdi,Cumhuriyet Halk Partisi,"[25, 26, 27]"
Ali Haydar Öner,Cumhuriyet Halk Partisi,[24]
Ali Karaoba,Cumhuriyet Halk Partisi,[28]
Ali Karaoba’nın Uşak halkı adına yeni bir devlet hastanesi istediklerine ilişkin açıklaması 296 19.- Hatay Milletvekili Mehmet Güzelmansur,,[]
Ali Kenanoğlu’n,,[27]
Ali Keven,Cumhuriyet Halk Partisi,[27]
Ali KoçaP,,[]
Ali Koçal,,[]
Ali Mahir Başarır,Cumhuriyet Halk Partisi,"[27, 28]"
Ali Muhittin Taşdoğan,Milliyetçi Hareket Partisi,[27]
Ali Osman Sali,Adalet Ve Kalkınma Partisi,"[22, 23]"
Ali Rıza Öztürk,Cumhuriyet Halk Partisi,"[23, 24]"
Ali Sarıbaş,Cumhuriyet Halk Partisi,[24]
Ali Serindağ,,[24]
Ali Temür,Adalet ve Kalkınma Partisi,"[22, 23, 28]"
Ali Uzunırmak,Milliyetçi Hareket Partisi,"[21, 23, 24, 25]"
Ali Yiğit,Cumhuriyet Halk Partisi,[26]
Ali Öz,,[]
Ali Özgündüz,,[24]
Ali Özkaya,Adalet ve Kalkınma Partisi,"[25, 26, 27, 28]"
Ali Öztunç,Cumhuriyet Halk Partisi,"[27, 28]"
Ali Öztürk,,[]
Ali İhsan Köktürk,Cumhuriyet Halk Partisi,"[23, 24]"
Ali İhsan Yavuz,Adalet ve Kalkınma Partisi,"[24, 25, 26, 27]"
Ali Şeker,Cumhuriyet Halk Partisi,"[25, 26, 27]"
Alim Işık,Milliyetçi Hareket Partisi(2007- günümüz),"[23, 24, 25]"
Aliye Timisi Ersever,Cumhuriyet Halk Partisi,[28]
Alparslan Türkeş,Cumhuriyetçi Köylü Millet Partisi(1965-1969)Milliyetçi Hareket Partisi(1969-1981)Siyasi yasaklı dönemi(1981-1987)Milliyetçi Çalışma Partisi(1987-1991)Refah Partisi(1991)(liste)Milliyetçi Çalışma Partisi(1991-1993)Milliyetçi Hareket Partisi(1993-1997),"[13, 14, 15, 16, 19]"
Alpaslan Kavaklıoğlu’n,Adalet ve Kalkınma Partisi,"[24, 25, 26]"
Alpay Antmen,,[27]
"Alpay Antmen, baroların hukukun güvencesi olduğuna, avukatların hukuksuzluklar karşısında susmadığına ve susmayacağına ilişkin açıklaması 1028 1001 TBMM B: 56 21 . 2 . 2019 Sayfa 25.- Diyarbakır Milletvekili Garo Paylan",,[]
Altan Tan,,"[24, 25, 26]"
Arif Bulut,Cumhuriyet Halk Partisi,[24]
Arife Polat Düzgün,Adalet ve Kalkınma Partisi,[27]
Arsan Savaş Arpaciğlu,,[]
Arslan Kabukcuoğlu’n,İYİ Parti,[27]
Arzu Aydın,Adalet ve Kalkınma Partisi,[27]
Arzu Erdem,Milliyetçi Hareket Partisi(?-2024),"[25, 26, 27]"
Arıkan,,[]
Asu Kaya,Cumhuriyet Halk Partisi,[28]
Asuman Erdoğan,Adalet ve Kalkınma Partisi,"[27, 28]"
Atay Uslu’n,Adalet ve Kalkınma Partisi,"[26, 27, 28]"
Atila Emek,,"[22, 23]"
Atila Sertel,Cumhuriyet Halk Partisi,"[26, 27]"
Atila Sertel ile Niğde Milletvekili Ömer Fetih Gürer’in yaptıkları açıklamalarındaki bazı ifadelerine ilişkin açıklaması 605:606 21.- Manisa Milletvekili Erkan Akçay,,[]
Atilla Kart,,"[22, 23, 24]"
Atilla Ödünç,Adalet ve Kalkınma Partisi,[27]
Avni Akyol,Adalet Partisi(1977-1980)Anavatan Partisi(1983-1999),"[16, 18, 19, 20, 21]"
Aycan Çakıroğulları,Anavatan Partisi,"[17, 18]"
Aycan İrmez,Halkların Demokratik Partisi,"[25, 26]"
Ayd,,[]
Aydın Adnan Sezgin,Adalet PartisiDoğru Yol PartisiİYİ Parti(2017-2023),[27]
Aydın Bıyıklıoğlu’n,Adalet ve Kalkınma Partisi,[24]
Aydın Güven Gürkan,Halkçı PartiSosyaldemokrat Halkçı PartiCumhuriyet Halk PartisiYeni Türkiye Partisi,"[17, 19, 20]"
Aydın Özer,Cumhuriyet Halk Partisi(1992-2024)Demokrat Parti(2024-günümüz),[27]
Ayhan Altıntaş,"İYİ Parti(2019-2023, 2023-2025)Anahtar Parti(2025-günümüz)",[27]
Ayhan Arifağaoğlu,Sosyaldemokrat Halkçı Parti,[18]
Ayhan Barut,Cumhuriyet Halk Partisi,"[27, 28]"
Ayhan Bilgen,Halkların Demokratik Partisi(2021'e kadar)Türkiye'nin Sesi Altınçağ Partisi(2022'den beri),"[25, 26, 27]"
Ayhan Erel,Milliyetçi Hareket Partisi(2007-2017)İYİ Parti(2017-2024)Anahtar Parti(2024-günümüz),[27]
Ayhan Fırat,,"[17, 20]"
Ayhan Gider,Adalet ve Kalkınma Partisi(2015-günümüz),"[26, 28]"
Ayhan Sakalloğlu,,[]
Ayhan Sefer Üstün,Refah Partisi(1994-1998)Fazilet Partisi(1998-2001)Adalet ve Kalkınma Partisi(2001-2019)Gelecek Partisi(2019-günümüz),"[22, 23, 24, 26]"
Aykan Erdemir,,[24]
Aykut,,[]
Aykut Edibali,Islahatçı Demokrasi Partisi(1984-1992)Millet Partisi(1992-2022),[19]
Aykut Erdoğdu’n,"Cumhuriyet Halk Partisi(2011-2022, 2023-)","[24, 25, 26, 27]"
Aykut Erdoğdu’nun sataşma nedeniyle yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 492:493 41.- Kalkınma Bakanı Cevdet Yılmaz,,[]
Ayla Akat,,"[23, 24]"
Ayla Akat Ata,,"[23, 24]"
Aylin Cesur,İYİ Parti(2017-2024)Bağımsız(2024-günümüz),[27]
Aylin Nazlıaka,"Cumhuriyet Halk Partisi(2011-2016, 2019-günümüz)Bağımsız(2016-2019)","[24, 25, 26]"
Aysu Bankoğlu’n,Cumhuriyet Halk Partisi,"[27, 28]"
Aytemin Kotil,46 / 88,[]
Aytun Çıray,Doğru Yol Partisi(1995-1999)Anavatan Partisi(2002-2007)Demokrat Parti(2007)Cumhuriyet Halk Partisi(2011-2017)İYİ Parti(2017-2023),"[24, 25, 26, 27]"
Aytun Çıray’ın sataşma nedeniyle yaptığı konuşma sırasındaki bazı ifadelerine ilişkin açıklaması 749:751 9.- Aydın Milletvekili Ali Uzunırmak,,[]
Aytuğ Atıcı,Cumhuriyet Halk Partisi,"[24, 25, 26]"
Aytuğ Atıcı ile İstanbul Milletvekili Mahmut Tanal’ın yaptıkları açıklamalarındaki bazı ifadelerine ilişkin açıklaması 418 15.- İzmir Milletvekili Oktay Vural,,[]
Aytuğ Atıcı’nın 312 sıra sayılı Kanun Teklifi’nin 2’nci maddesiyle ilgili önerge üzerinde yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 555:556 22.- Enerji ve Tabii Kaynaklar Bakanı Berat Albayrak,,[]
Aytuğ Atıcı’nın yaptığı açıklama sırasındaki bazı ifadelerine ilişkin açıklaması 257:259 32.- Adıyaman Milletvekili Ahmet Aydın,,[]
Aytuğ Atıcı’nın yerinden sarf ettiği bazı ifadelerine ilişkin açıklaması 145 15.- Samsun Milletvekili Erhan Usta,,[]
Ayşe Acar Başaran,Halkların Demokratik Partisi,"[25, 26, 27]"
Ayşe Doğan,,[]
Ayşe Gülsün Bilgehan,Cumhuriyet Halk Partisi,"[22, 24, 25, 26]"
Ayşe Jale Ağırbaş,Demokratik Sol Parti(1999-günümüz)Cumhuriyet Halk Partisi(2007),[23]
Ayşe Keşir,Adalet ve Kalkınma Partisi(2001-günümüz),"[25, 26, 27, 28]"
Ayşe Nedret Akova,Cumhuriyet Halk Partisi,[24]
Ayşe Nur Bahçekapılı,Adalet ve Kalkınma Partisi,"[23, 24, 25, 26]"
Ayşe Sibel Ersoy,Milliyetçi Hareket Partisi,"[27, 28]"
Ayşe Sula Köseoğlu’n,Adalet ve Kalkınma Partisi(2003-günümüz),"[25, 26]"
Ayşe Sürücü’n,Halkların Demokratik Partisi,[27]
Ayşe Türkmenoğlu,,[23]
Aziz Aydınlık,,[27]
Aziz Kaygısız,,[]
Aşkın Genç,Cumhuriyet Halk Partisi,[28]
Baha Ünlü’n,Cumhuriyet Halk Partisi,[27]
Bahaddin Elçi,,[]
Bahar Ayvazoğlu’n,Adalet ve Kalkınma Partisi,[27]
Bahattin Elçi,,[]
Bahri Karakeçili,,"[14, 17, 18]"
Bahriye Üçok,Cumhuriyet Halk Partisi(1977-1980)Halkçı Parti(1983-1987)Sosyaldemokrat Halkçı Parti(1987-1990),[17]
Baki Durmaz,,"[18, 19]"
Baki Şimşek,Milliyetçi Hareket Partisi,"[25, 26, 27]"
"Baki Şimşek, Milliyetçi Hareket Partisi adına İzmir’de yapılan hain saldırıyı kınadığına ve hayatını kaybedenlere Allah’tan rahmet dilediğine ilişkin açıklaması 955 29.- İzmir Milletvekili Ali Yiğit",,[]
Barutçu,Cumhuriyet Halk Partisi,"[6, 7, 8, 9, 11]"
Barış Atay Mengüllüoğlu’n,Türkiye İşçi Partisi,[27]
Barış Bektaş,Cumhuriyet Halk Partisi,[28]
Barış Karadeniz,Cumhuriyet Halk Partisi,"[25, 26, 27, 28]"
