filename,session_date
tbmm01012075.txt,13.09.1337
tbmm01012076.txt,15.09.1337
tbmm01012077.txt,17.09.1337
tbmm01012078.txt,18.09.1337
tbmm01012079.txt,19.09.1337
tbmm01012080.txt,22.09.1337
tbmm01013081.txt,24.09.1337
tbmm01013082.txt,26.09.1337
tbmm01013083.txt,29.09.1337
tbmm01013084.txt,01.10.1337
tbmm01013085.txt,03.10.1337
tbmm01013086.txt,04.10.1337
tbmm01013088.txt,06.10.1337
tbmm01013090.txt,10.10.1337
tbmm01013092.txt,13.10.1337
tbmm01013095.txt,17.10.1337
tbmm01013096.txt,18.10.1337
tbmm01013097.txt,20.10.1337
tbmm01013098.txt,22.10.1337
tbmm01013099.txt,24.10.1337
tbmm01013100.txt,27.10.1337
tbmm01014102.txt,31.10.1337
tbmm01014103.txt,01.11.1337
tbmm01014104.txt,03.11.1337
tbmm01014105.txt,05.11.1337
tbmm01014106.txt,07.11.1337
tbmm01014107.txt,08.11.1337
tbmm01014108.txt,10.11.1337
tbmm01014109.txt,12.11.1337
tbmm01014110.txt,14.11.1337
tbmm01014111.txt,15.11.1337
tbmm01014112.txt,17.11.1337
tbmm01014114.txt,21.11.1337
tbmm01014115.txt,22.11.1337
tbmm01014117.txt,26.11.1337
tbmm01014118.txt,28.11.1337
tbmm01014119.txt,29.11.1337
tbmm01014120.txt,01.12.1337
tbmm01015121.txt,03.12.1337
tbmm01015122.txt,05.12.1337
tbmm01015123.txt,06.12.1337
tbmm01015124.txt,08.12.1337
tbmm01015125.txt,10.12.1337
tbmm01015126.txt,12.12.1337
tbmm01015130.txt,19.12.1337
tbmm01015131.txt,20.12.1337
tbmm01015132.txt,22.12.1337
tbmm01015133.txt,24.12.1337
tbmm01015136.txt,29.12.1337
tbmm01015137.txt,31.12.1337
tbmm01015138.txt,02.01.1338
tbmm01016141.txt,07.01.1338
tbmm01016142.txt,09.01.1338
tbmm01016143.txt,12.01.1338
tbmm01016144.txt,14.01.1388
tbmm01016145.txt,16.01.1338
tbmm01016146.txt,17.01.1338
tbmm01016147.txt,19.01.1338
tbmm01016148.txt,21.01.1338
tbmm01016149.txt,23.01.1338
tbmm01016150.txt,26.01.1338
tbmm01016151.txt,28.01.1338
tbmm01016152.txt,30.01.1338
tbmm01016153.txt,02.02.1338
tbmm01016154.txt,04.02.1338
tbmm01016155.txt,06.02.1338
tbmm01016156.txt,07.02.1338
tbmm01016157.txt,09.02.1338
tbmm01016158.txt,11.02.1338
tbmm01016159.txt,13.02.1338
tbmm01016160.txt,18.02.1338
tbmm01017161.txt,18.02.1338
tbmm01017162.txt,20.02.1338
tbmm01017163.txt,21.11.1338
tbmm01017164.txt,23.02.1338
tbmm01017165.txt,25.02.1338
tbmm01017166.txt,26.02.1338
tbmm01017167.txt,28.02.1338
tbmm01018001.txt,01.03.1338
tbmm01018002.txt,02.03.1338
tbmm01018005.txt,09.03.1338
tbmm01018006.txt,11.03.1338
tbmm01018007.txt,13.03.1338
tbmm01018008.txt,14.03.1338
tbmm01018009.txt,16.03.1338
tbmm01018010.txt,18.03.1338
